Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U1         LQFP-144_20X20mm   1301.736mil   1737.312mil   1301.736mil   1737.312mil   1353.934mil   2276.689mil  B        225.00 STM32F746ZET   
P7         HDR2X4                2103mil       1456mil       2053mil       1606mil       2053mil       1606mil  B        270.00 nRF24L01       
L4         WE-LQS_252012          330mil       1060mil        330mil       1060mil     362.48mil       1060mil  B        180.00 74404024047    
P10        HDR2X5             479.645mil   2085.355mil    302.868mil   1979.289mil    302.868mil   1979.289mil  B         45.00 EXPAND         
C1         0603                   955mil       1005mil        955mil       1005mil    988.465mil       1005mil  T        180.00 100nF          
C2         0603                  1650mil        115mil       1650mil        115mil   1683.465mil        115mil  T        180.00 100nF          
C3         0603                  1650mil    216.429mil       1650mil    216.429mil   1683.465mil    216.429mil  T        180.00 100nF          
C4         0603                  1650mil    337.857mil       1650mil    337.857mil   1683.465mil    337.857mil  T        180.00 100nF          
C5         0603                  1640mil        430mil       1640mil        430mil   1673.465mil        430mil  T        180.00 100nF          
C6         0603                  1660mil        592mil       1660mil        592mil   1693.465mil        592mil  T        180.00 100nF          
C7         0603                  1865mil       1170mil       1865mil       1170mil       1865mil   1136.535mil  T         90.00 100nF          
C8         0603                  1970mil       1135mil       1970mil       1135mil   1936.535mil       1135mil  T        360.00 100nF          
C9         0805                  1715mil       1160mil       1715mil       1160mil       1715mil   1122.598mil  T         90.00 C0805          
C10        0805                  1795mil       1160mil       1795mil       1160mil       1795mil   1122.598mil  T         90.00 C0805          
C11        0603                  1720mil       2420mil       1720mil       2420mil   1743.663mil   2443.663mil  B        225.00 C0603          
C12        0603                  1160mil       1510mil       1160mil       1510mil       1160mil   1543.465mil  T        270.00 100nF          
C13        0603                  1675mil        700mil       1675mil        700mil   1708.465mil        700mil  T        180.00 100nF          
C14        0603                  1675mil        825mil       1675mil        825mil   1708.465mil        825mil  T        180.00 100nF          
C15        0603                  1650mil    897.426mil       1650mil    897.426mil   1683.465mil    897.426mil  T        180.00 100nF          
C16        0603                   985mil        900mil        985mil        900mil        985mil    933.465mil  T        270.00 100nF          
C17        0603                   950mil        720mil        950mil        720mil    916.535mil        720mil  T        360.00 100nF          
